"case_ID","pay_attn_to_politics","vote_in_2012","vote_choice_2012","attn_to_news","registered_to_vote","party_of_registration","vote_in_primary","vote_choice_primary","vote_for_president","vote_choice_president","approve_of_congress","country_on_track","approve_of_president","feeling_dem_cand","feeling_rep_cand","feeling_prev_pres","feeling_bill_clinton","feeling_dem_party","feeling_rep_party","have_health_insurance","favor_2010_health_care_law","liberal.cons_self","current_econ","party_better_economy","importance_of_guns","policy_immigrants","build_wall","speak_english","syrian_refugees","gov_waste_.tax_money","global_warming","death_penalty","obama_angry","obama_proud","religion_important","attend_church","attend_church_often","born_again_christian","age","married","education","hispanic","white","black.af.amer","amer.indian.alaskan","asian","hawaiian.pac.islander.mentioned","native_status_parents","grandparents_born_outside_US"
39,"4. Some of the time","2. No, didn't vote",NA,"5. None at all","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","1. Approve","2. Wrong track","1. Approve",100,85,85,100,60,85,"3. Neither favor nor oppose","3. Neither favor nor oppose","4. Moderate, middle of the road","3. Neither good nor bad","3. Not much difference between them","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","2. Waste some","2. Probably hasn't been happening","2. Oppose","1. Never","5. Always","2. Not important","2. No",NA,NA,48,"3. Divorced","1. Some high school or less","1. Yes","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
40,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",60,0,100,70,85,30,"1. Favor","1. Favor","2. Liberal","3. Neither good nor bad","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","4. Most of the time","1. Important","1. Yes","4. A few times a year","2. No",26,"5. Never married","3. Some college","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
41,"2. Most of the time","1. Yes, voted","2. Mitt Romney","3. A moderate amount","1. Registered","3. None or 'independent'","1. Yes, voted in primary or caucus","4. Donald Trump",NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",30,80,30,0,40,80,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time","1. Never","1. Important","1. Yes","2. Almost every week","2. No",NA,"1. Married","1. Some high school or less","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
42,"4. Some of the time","1. Yes, voted","2. Mitt Romney","4. A little","1. Registered",NA,"1. Yes, voted in primary or caucus","8. Another Republican","1. Yes","2. Donald Trump","1. Approve","2. Wrong track","2. Disapprove",0,60,50,50,15,70,"2. Oppose","2. Oppose","5. Slightly conservative","4. Bad","3. Not much difference between them","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","2. Some of the time","2. Some of the time","1. Important","1. Yes","2. Almost every week","2. No",25,"5. Never married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
43,"1. Always","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",100,0,100,100,100,0,"1. Favor","1. Favor","1. Extremely liberal","2. Good","1. Democrats","1. Extremely important","2. Have a guest worker program in order to work","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","5. Always","1. Important","1. Yes","2. Almost every week","2. No",46,"5. Never married","5. Bachelor's degree","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
44,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","1. Approve","2. Wrong track","2. Disapprove",0,100,0,0,0,100,"2. Oppose","2. Oppose","6. Conservative","5. Very bad","2. Republicans","2. Very important","2. Have a guest worker program in order to work","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","5. Always","1. Never","1. Important","1. Yes","1. Every week",NA,59,"5. Never married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
45,"2. Most of the time","1. Yes, voted","2. Mitt Romney","3. A moderate amount","1. Registered","4. Other","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,70,0,15,0,60,"2. Oppose","2. Oppose","4. Moderate, middle of the road","5. Very bad","2. Republicans","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","1. Never","2. Not important","1. Yes","3. Once or twice a month",NA,39,"1. Married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
46,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered",NA,"1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",85,0,70,85,60,30,"1. Favor","1. Favor","3. Slightly liberal","2. Good","2. Republicans","1. Extremely important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","3. Not very important","1. Favor","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","4. Most of the time","1. Important","1. Yes","2. Almost every week","1. Yes",52,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
47,"4. Some of the time","2. No, didn't vote",NA,"3. A moderate amount","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","1. Right direction","1. Approve",60,60,85,85,60,60,"2. Oppose","2. Oppose","6. Conservative","3. Neither good nor bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","1. Never","1. Important","1. Yes","1. Every week",NA,29,"1. Married","5. Bachelor's degree","1. Yes",NA,NA,NA,NA,NA,"3. Both parents born in another country","4. All"
48,"2. Most of the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","2. Bernie Sanders","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,70,0,0,30,85,"2. Oppose","2. Oppose","4. Moderate, middle of the road","5. Very bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","4. Most of the time","1. Never","1. Important","1. Yes","4. A few times a year","1. Yes",46,"3. Divorced","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
49,"4. Some of the time","1. Yes, voted","1. Barack Obama","4. A little","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",60,40,85,100,70,40,"1. Favor","1. Favor","2. Liberal","3. Neither good nor bad","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","4. Not at all important","1. Favor",NA,"1. Has probably been happening","2. Oppose","1. Never","5. Always","2. Not important","2. No",NA,NA,45,"3. Divorced",NA,"2. No","1. Selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
50,"4. Some of the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton",NA,NA,"2. Disapprove","1. Right direction","1. Approve",70,40,70,70,85,60,"2. Oppose","2. Oppose",NA,"4. Bad","1. Democrats","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","3. About half the time","1. Important","1. Yes","4. A few times a year","2. No",64,"1. Married","1. Some high school or less","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
51,"5. Never","2. No, didn't vote",NA,NA,"2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,NA,"2. Wrong track","2. Disapprove",50,0,40,85,85,15,"1. Favor","1. Favor","4. Moderate, middle of the road","3. Neither good nor bad","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","2. Some of the time","1. Important","1. Yes","4. A few times a year","1. Yes",43,"3. Divorced","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
52,"1. Always","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered",NA,"1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",70,30,85,85,85,40,"1. Favor","1. Favor","2. Liberal","3. Neither good nor bad","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","3. About half the time","1. Important","1. Yes","3. Once or twice a month",NA,61,"3. Divorced","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
53,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered",NA,"1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump",NA,"2. Wrong track","2. Disapprove",0,85,0,60,30,40,"2. Oppose","2. Oppose","5. Slightly conservative","4. Bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","5. Always","1. Never","2. Not important","2. No",NA,"1. Yes",30,"3. Divorced","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
54,"1. Always","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",15,85,15,15,30,70,"2. Oppose","2. Oppose","6. Conservative","3. Neither good nor bad","2. Republicans","1. Extremely important","2. Have a guest worker program in order to work","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","2. Some of the time","1. Important","1. Yes","2. Almost every week",NA,55,"1. Married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
55,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",85,15,100,70,70,15,"1. Favor","1. Favor","2. Liberal","1. Very good","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","2. Oppose","1. Never","4. Most of the time","2. Not important","2. No",NA,NA,35,"1. Married","8. Doctorate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
56,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered",NA,"1. Yes, voted in primary or caucus","2. Bernie Sanders","1. Yes","1. Hillary Clinton",NA,"1. Right direction","1. Approve",70,30,70,50,70,60,"2. Oppose","2. Oppose","3. Slightly liberal","2. Good","2. Republicans","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","2. Waste some","1. Has probably been happening","1. Favor","1. Never","3. About half the time","2. Not important","2. No",NA,"2. No",24,"5. Never married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
